# Program:featureCounts v2.0.3; Command:"featureCounts" "-p" "-T" "6" "-s" "2" "-a" "downloads/Saccharomyces_cerevisiae.R64-1-1.108.gtf" "-o" "counts/counts.txt" "hisat2/control_ribo_rep1_sorted_markdup_filt.bam" 
Geneid	Chr	Start	End	Strand	Length	hisat2/control_ribo_rep1_sorted_markdup_filt.bam
YMR294W	XIII	856966	858087	+	1122	480
YMR167W	XIII	594886	597195	+	2310	1325
YMR242W-A	XIII	754297	754386	+	90	1
YMR079W	XIII;XIII	424989;425154	424997;426059	+;+	915	5047
YMR275C	XIII	815651	818581	-	2931	4099
YMR100W	XIII	466300	468162	+	1863	2006
YMR030W-A	XIII	337313	337603	+	291	20
YMR161W	XIII	577718	578392	+	675	1153
YMR183C	XIII	626921	627808	-	888	2582
YML021C	XIII	229734	230813	-	1080	1069
YML074C	XIII	120089	121324	-	1236	7122
YMR157C	XIII	571277	572044	-	768	779
YMR110C	XIII	490394	491992	-	1599	3713
YMR097C	XIII	459424	460527	-	1104	1225
YMR111C	XIII	492404	493792	-	1389	950
YML011C	XIII	246895	247428	-	534	435
YMR064W	XIII	397903	399459	+	1557	1581
YML082W	XIII	101862	103811	+	1950	1913
YMR300C	XIII	865559	867091	-	1533	6327
YMR262W	XIII	793726	794667	+	942	950
YMR031C	XIII	332212	334743	-	2532	6008
YMR016C	XIII	303236	305593	-	2358	2512
YMR066W	XIII	401541	404237	+	2697	1102
YMR007W	XIII	279960	280340	+	381	22
YMR201C	XIII;XIII	665845;667018	666933;667044	-;-	1116	828
YMR232W	XIII	736926	738959	+	2034	277
YMR200W	XIII	664752	665522	+	771	2907
YMR297W	XIII	861922	863520	+	1599	14144
YML026C	XIII;XIII	222987;223782	223380;223828	-;-	441	11644
YML023C	XIII	226994	228664	-	1671	1164
YMR143W	XIII;XIII	551928;552496	551951;552903	+;+	432	11786
YMR073C	XIII	412268	412873	-	606	758
YML069W	XIII	135500	137158	+	1659	3053
YML050W	XIII	173139	174074	+	936	400
YML099W-A	XIII	74229	74558	+	330	0
YMR211W	XIII	689083	690510	+	1428	810
tF(GAA)M	XIII;XIII	352280;352335	352316;352370	+;+	73	1
YMR283C	XIII	835326	836867	-	1542	1036
snR74	XIII	298138	298225	+	88	54
RNA170	XIII	667288	667456	-	169	82
YML078W	XIII	111002	111550	+	549	3854
YMR142C	XIII;XIII	550206;551204	550801;551207	-;-	600	20295
YMR203W	XIII	668492	669655	+	1164	6370
YMR077C	XIII	421484	422149	-	666	472
YMR245W	XIII	758563	759183	+	621	21
YMR284W	XIII	838187	839995	+	1809	1236
YMR089C	XIII	445609	448086	-	2478	6872
YMR134W	XIII	537838	538551	+	714	477
YMR290W-A	XIII	851422	851769	+	348	2
YMR095C	XIII	457285	457959	-	675	98
snR83	XIII	626349	626654	+	306	9968
snR73	XIII	298307	298412	+	106	5
tH(GUG)M	XIII	363064	363135	+	72	21
YMR099C	XIII	463934	464827	-	894	5453
YMR132C	XIII	534944	535570	-	627	334
YML115C	XIII	40187	41794	-	1608	2941
snR11	XIII	652275	652532	+	258	1743
YMR086W	XIII	439208	442090	+	2883	4966
YMR044W	XIII	355384	356811	+	1428	1651
YMR222C	XIII	715638	716309	-	672	1278
YMR272W-A	XIII	810466	810579	+	114	1
YMR321C	XIII	917579	917896	-	318	4
YML131W	XIII	10198	11295	+	1098	1520
YML038C	XIII	202775	204103	-	1329	2486
YML122C	XIII	26038	26418	-	381	6
YMR036C	XIII	341856	343520	-	1665	1628
YML012W	XIII	246116	246751	+	636	5206
YML100W	XIII	70624	73920	+	3297	17568
YMR312W	XIII	898405	899226	+	822	1004
YML112W	XIII	45063	45953	+	891	690
YML099C	XIII	74398	77040	-	2643	2206
YML123C	XIII	24037	25800	-	1764	2403
tV(AAC)M3	XIII	586636	586709	-	74	2
YMR141C	XIII	549736	550044	-	309	3
YMR324C	XIII	922202	922444	-	243	0
YMR207C	XIII	677193	683564	-	6372	3200
YMR236W	XIII	742971	743444	+	474	1569
YML034C-A	XIII	209428	209826	-	399	7
YMR204C	XIII	670063	671325	-	1263	399
YMR011W	XIII	288079	289704	+	1626	22804
YML008C	XIII	251839	252990	-	1152	6878
YMR109W	XIII	486587	490246	+	3660	6664
YMR004W	XIII	274017	275552	+	1536	2193
YMR158C-A	XIII	573194	573331	-	138	40
YMR216C	XIII	698811	701039	-	2229	3887
YMR159C	XIII	574476	574928	-	453	218
YMR307C-A	XIII	887731	887925	-	195	10
YMR272C	XIII	809623	810777	-	1155	3459
YMR106C	XIII	478301	480190	-	1890	752
YML092C	XIII	85987	86739	-	753	4261
tV(AAC)M2	XIII	420588	420661	-	74	5
YML104C	XIII	58939	62322	-	3384	2303
YML058W	XIII	159383	159697	+	315	3658
tW(CCA)M	XIII;XIII	379303;379373	379338;379408	-;-	72	1
YMR148W	XIII	560366	560812	+	447	673
YMR168C	XIII	597332	599158	-	1827	1085
YML063W	XIII	146482	147249	+	768	27108
YMR008C	XIII	280590	282584	-	1995	9142
YMR294W-A	XIII	858209	858568	+	360	30
YMR177W	XIII	616566	618098	+	1533	829
YMR213W	XIII	693381	695153	+	1773	1637
YMR192W	XIII	647118	649280	+	2163	1518
YMR326C	XIII	923494	923802	-	309	0
YMR014W	XIII	298868	300427	+	1560	1462
YMR020W	XIII	315377	316903	+	1527	2024
snR86	XIII	762110	763113	-	1004	33045
YMR208W	XIII	684467	685798	+	1332	2293
YML098W	XIII	77267	77770	+	504	533
YMR133W	XIII;XIII	536207;537565	537448;537609	+;+	1287	46
YML028W	XIII	220138	220728	+	591	18295
YMR285C	XIII	840144	841691	-	1548	1279
YMR040W	XIII	350381	350863	+	483	327
YMR094W	XIII	455825	457261	+	1437	374
YMR189W	XIII	637500	640604	+	3105	5921
YML128C	XIII	15135	16676	-	1542	5846
YML022W	XIII	228937	229500	+	564	3264
YMR299C	XIII	864412	865350	-	939	725
YMR227C	XIII	722613	724385	-	1773	511
YMR119W	XIII	505333	507207	+	1875	1799
YMR255W	XIII	778001	778567	+	567	1583
YMR024W	XIII	321875	323047	+	1173	1579
YML054C	XIII	165533	167308	-	1776	792
YMR317W	XIII	907364	910786	+	3423	84
YMR084W	XIII	436628	437416	+	789	624
YMR274C	XIII	814364	815311	-	948	433
YMR215W	XIII	696796	698370	+	1575	5439
YMR277W	XIII	820256	822454	+	2199	3185
YMR033W	XIII;XIII	337788;337904	337817;339277	+;+	1404	2014
YML094C-A	XIII	82219	82620	-	402	3
YML041C	XIII	194913	195755	-	843	700
YMR305C	XIII	879063	880232	-	1170	6297
YMR315W-A	XIII	904286	904393	+	108	110
YMR237W	XIII	743749	745923	+	2175	5845
YML095C	XIII	81481	82113	-	633	258
YMR018W	XIII	310208	311752	+	1545	55
YMR163C	XIII	584271	586388	-	2118	655
YML027W	XIII	221406	222563	+	1158	331
ZOD1	XIII	91970	92027	+	58	0
tD(GUC)M	XIII	463554	463625	+	72	0
YMR162C	XIII	578951	583921	-	4971	3385
YMR158W	XIII	572248	572715	+	468	603
YMR210W	XIII	687516	688865	+	1350	1019
YMR316C-A	XIII	905662	905973	-	312	26
YMR241W	XIII	751961	752905	+	945	3015
YMR205C	XIII	671887	674766	-	2880	39120
YMR235C	XIII	741512	742735	-	1224	5156
YMR047C	XIII	363364	366705	-	3342	7815
YMR259C	XIII	784621	788883	-	4263	4224
YMR175W-A	XIII	611314	611508	+	195	29
YMR281W	XIII	832339	833253	+	915	976
YMR261C	XIII	790205	793369	-	3165	8997
YMR026C	XIII	324236	325435	-	1200	1249
YML010W	XIII	247677	250868	+	3192	6795
YMR150C	XIII	561956	562528	-	573	827
YMR067C	XIII	404323	405573	-	1251	1778
YMR179W	XIII	619858	622134	+	2277	681
YMR126C	XIII	520761	521789	-	1029	453
YML032C	XIII	212515	213930	-	1416	2327
YML018C	XIII	234771	235952	-	1182	1999
YML081W	XIII	104777	108532	+	3756	5403
YMR003W	XIII	273118	273714	+	597	332
YMR221C	XIII	713931	715445	-	1515	2131
YMR257C	XIII	779629	782031	-	2403	994
YML068W	XIII	137550	138944	+	1395	1000
YMR117C	XIII	501250	501891	-	642	212
YMR060C	XIII	391532	392515	-	984	562
YMR144W	XIII	553362	554390	+	1029	445
YMR068W	XIII	406304	407584	+	1281	508
YML097C	XIII	78335	79690	-	1356	1019
YMR182C	XIII	624532	625167	-	636	129
YMR295C	XIII	858297	858890	-	594	4918
YMR181C	XIII	623616	624080	-	465	1848
YML080W	XIII	108806	110077	+	1272	890
YMR194C-B	XIII;XIII	652594;652848	652775;652887	-;-	222	104
YMR140W	XIII	547714	549183	+	1470	3047
YMR058W	XIII	388822	390732	+	1911	5402
YMR076C	XIII	416196	420029	-	3834	2216
YMR239C	XIII	748262	749677	-	1416	1175
tG(GCC)M	XIII	183898	183968	-	71	0
YMR242C	XIII	753225	753742	-	518	13801
YMR306C-A	XIII	886183	886572	-	390	36
YMR193C-A	XIII	651072	651458	-	387	2
YMR114C	XIII	496343	497449	-	1107	1090
YMR009W	XIII	284102	284641	+	540	1723
YMR088C	XIII	443414	445102	-	1689	2019
YMR253C	XIII	775946	777190	-	1245	676
YMR103C	XIII	472902	473264	-	363	1679
YMR254C	XIII	777615	777923	-	309	8
YMR303C	XIII	873291	874337	-	1047	134
YMR316W	XIII	904825	905835	+	1011	4516
YML017W	XIII;XIII	236588;236954	236591;238731	+;+	1782	2936
YMR104C	XIII	473420	475453	-	2034	11964
YMR309C	XIII	892988	895426	-	2439	13565
YML133W-A	XIII	1610	2185	+	576	0
YMR155W	XIII	568551	570194	+	1644	909
YMR313C	XIII	899379	901307	-	1929	2398
YMR028W	XIII	327482	328582	+	1101	1087
snR72	XIII	298554	298651	+	98	31
YMR154C	XIII	565999	568182	-	2184	683
tY(GUA)M1	XIII;XIII	168795;168848	168833;168883	+;+	75	4
snR75	XIII	297918	298006	+	89	75
YML096W	XIII	79909	81486	+	1578	1239
YML016C	XIII	239458	241536	-	2079	3442
YML006C	XIII	256092	258416	-	2325	2176
YMR178W	XIII	618479	619303	+	825	1585
YML109W	XIII	51640	54468	+	2829	1631
YML015C	XIII	241989	243029	-	1041	1112
YMR197C	XIII	658545	659198	-	654	1871
YML014W	XIII	243225	244064	+	840	909
YML106W	XIII	56773	57453	+	681	5724
YML025C	XIII;XIII	224406;225339	225239;225365	-;-	861	1325
tS(AGA)M	XIII	259158	259239	-	82	1
YMR172C-A	XIII	607828	608211	-	384	2
YMR193W	XIII	650036	650812	+	777	1098
YML052W	XIII	170402	171310	+	909	2097
YML079W	XIII	110247	110852	+	606	1662
YML101C-A	XIII	69409	69726	-	318	24
YML047C	XIII	180017	181075	-	1059	12
YMR174C	XIII	610159	610365	-	207	294
YMR218C	XIII	703579	706887	-	3309	2051
YMR315W	XIII	902800	903849	+	1050	8630
YMR001C	XIII	269019	271136	-	2118	1625
tV(AAC)M1	XIII	372445	372518	-	74	0
tE(UUC)M	XIII	290801	290872	+	72	3
YML121W	XIII	26930	27862	+	933	1288
YMR085W	XIII	437491	438789	+	1299	663
YMR105W-A	XIII	478064	478258	+	195	12
YMR122C	XIII	510701	511075	-	375	4
snR78	XIII	297278	297364	+	87	26
YMR217W	XIII	701790	703367	+	1578	15908
tA(AGC)M2	XIII	768369	768441	-	73	0
YMR298W	XIII	863819	864271	+	453	1688
YMR057C	XIII	388359	388730	-	372	11
YML042W	XIII	192788	194800	+	2013	731
YMR320W	XIII	916746	917051	+	306	107
YMR287C	XIII	842436	845345	-	2910	1272
YMR289W	XIII	848685	849809	+	1125	1483
YML048W	XIII	178426	179637	+	1212	6255
YMR250W	XIII	770801	772558	+	1758	6191
YMR230W-A	XIII	733268	733456	+	189	12
YMR124W	XIII	514456	517287	+	2832	4531
YMR311C	XIII	896914	897603	-	690	3073
snR77	XIII	297506	297593	+	88	94
YMR322C	XIII	918366	919079	-	714	0
YML119W	XIII	30611	31684	+	1074	954
YML043C	XIII	190244	191767	-	1524	702
YML046W	XIII	181474	183363	+	1890	1465
YML004C	XIII	261705	262685	-	981	5602
YMR071C	XIII	410762	411265	-	504	1383
YMR229C	XIII	725934	731123	-	5190	29713
YMR063W	XIII	397077	397796	+	720	294
YMR301C	XIII	867555	869627	-	2073	2409
YMR276W	XIII	818827	819948	+	1122	8453
YMR002W	XIII	272193	272663	+	471	3491
YML081C-A	XIII	103983	104162	-	180	1382
YML019W	XIII	233457	234455	+	999	1284
YMR176W	XIII	611740	615975	+	4236	3252
YMR158W-B	XIII	574471	574791	+	321	3
YML108W	XIII	54793	55110	+	318	617
YMR198W	XIII	659745	661529	+	1785	457
YML094W	XIII;XIII	82275;82374	82290;82849	+;+	492	1162
YMR006C	XIII	277561	279681	-	2121	4320
YML003W	XIII	263483	264355	+	873	463
YML057C-A	XIII	160023	160412	-	390	17
YML009C-A	XIII	250675	251001	-	327	9
tQ(CUG)M	XIII	808246	808317	-	72	2
YML093W	XIII	83090	85789	+	2700	4865
YMR116C	XIII;XIII	499456;500152	499878;500688	-;-	960	36447
YMR196W	XIII	655076	658342	+	3267	6172
YML053C	XIII	169116	169754	-	639	507
YMR151W	XIII	562506	562943	+	438	40
YML009C	XIII	251304	251516	-	213	517
YMR070W	XIII	409154	410626	+	1473	1274
YMR219W	XIII	707133	712109	+	4977	5842
YML037C	XIII	204386	205408	-	1023	320
YMR280C	XIII	827028	831329	-	4302	2831
YMR170C	XIII	601562	603082	-	1521	982
YMR123W	XIII	513593	513961	+	369	1056
YML012C-A	XIII	245537	245914	-	378	19
YMR019W	XIII	312156	315005	+	2850	1669
YMR206W	XIII	675896	676837	+	942	276
YMR165C	XIII	590040	592628	-	2589	3692
YMR010W	XIII	285100	286317	+	1218	1677
YMR184W	XIII	628189	628785	+	597	1009
YML126C	XIII	19060	20535	-	1476	12086
YMR244W	XIII	757250	758317	+	1068	39
YMR279C	XIII	824729	826351	-	1623	18
YMR316C-B	XIII	907321	907629	-	309	99
YMR107W	XIII	483014	483361	+	348	363
YML054C-A	XIII	167623	167781	-	159	1
YMR043W	XIII	353871	354731	+	861	2809
tA(AGC)M1	XIII	321147	321219	-	73	2
YMR270C	XIII	805326	806423	-	1098	1166
YMR175W	XIII	611016	611255	+	240	25
YML009W-B	XIII	250435	250911	+	477	90
YMR035W	XIII	341142	341675	+	534	714
YMR108W	XIII	484084	486147	+	2064	13771
YML002W	XIII	264541	266754	+	2214	914
YML111W	XIII	46942	49704	+	2763	2202
YMR278W	XIII	822763	824631	+	1869	3420
YMR185W	XIII	629025	631970	+	2946	1629
YMR304C-A	XIII	878780	879130	-	351	319
YML084W	XIII	99489	99797	+	309	3
YMR258C	XIII	782620	784281	-	1662	1566
YMR023C	XIII	319437	321017	-	1581	645
YMR291W	XIII	852630	854390	+	1761	6002
YMR041C	XIII	350966	351973	-	1008	609
YMR029C	XIII	328660	330231	-	1572	1836
YMR092C	XIII	451632	453479	-	1848	6407
YMR138W	XIII	545155	545730	+	576	235
YMR122W-A	XIII	511315	511569	+	255	9298
YMR053C	XIII	380346	382898	-	2553	1798
YMR220W	XIII	712316	713671	+	1356	2312
YMR087W	XIII	442527	443381	+	855	396
YML031W	XIII	214189	216156	+	1968	2686
YML118W	XIII	32334	33851	+	1518	1046
YML120C	XIII	28266	29807	-	1542	4097
YMR078C	XIII	422503	424728	-	2226	1177
tL(CAA)M	XIII;XIII	504895;504965	504932;505008	+;+	82	1
YMR042W	XIII	352603	353136	+	534	403
YMR251W	XIII	772915	774015	+	1101	76
YMR223W	XIII	716715	718130	+	1416	970
YML007C-A	XIII	253162	253272	-	111	19
YMR256C	XIII	778945	779127	-	183	954
YMR214W	XIII	695350	696483	+	1134	2487
tP(UGG)M	XIII;XIII	196068;196135	196103;196170	-;-	72	20
YMR055C	XIII	386101	387021	-	921	416
YML117W	XIII	34243	37647	+	3405	12773
YMR271C	XIII	806865	807548	-	684	371
snR24	XIII	499984	500072	-	89	93
YMR226C	XIII	721593	722396	-	804	5530
YML110C	XIII	50031	50954	-	924	4300
YML047W-A	XIII	179893	180258	+	366	1
YML007W	XIII	253848	255800	+	1953	4561
YMR190C	XIII	640915	645258	-	4344	3973
YMR225C	XIII;XIII	720960;721346	721198;721403	-;-	297	584
YMR264W	XIII	795805	796416	+	612	2022
YMR037C	XIII	344403	346517	-	2115	1917
YML024W	XIII;XIII	225889;226290	225891;226697	+;+	411	9289
YML083C	XIII	99794	101050	-	1257	28
YMR182W-A	XIII	625811	625897	+	87	26
YMR030W	XIII	330793	331923	+	1131	837
YMR187C	XIII	634689	635984	-	1296	563
YMR238W	XIII	746353	747729	+	1377	4772
YML061C	XIII	148953	151532	-	2580	1849
YMR130W	XIII	532119	533027	+	909	969
YMR005W	XIII	276045	277211	+	1167	1642
YMR054W	XIII	383303	385975	+	2673	4917
YMR209C	XIII	685911	687284	-	1374	851
YML102W	XIII	68294	69700	+	1407	879
YMR194W	XIII;XIII	651145;651624	651160;651910	+;+	303	4094
YMR252C	XIII	775315	775719	-	405	474
YMR164C	XIII	587274	589550	-	2277	978
YMR074C	XIII	413036	413473	-	438	1570
YML065W	XIII	142210	144954	+	2745	1893
YMR243C	XIII	754838	756166	-	1329	7835
snR85	XIII	67768	67938	-	171	238
YMR145C	XIII	554793	556475	-	1683	9779
YML071C	XIII	129749	131572	-	1824	1370
YMR015C	XIII	300869	302485	-	1617	1763
YML070W	XIII	133475	135229	+	1755	6838
YMR125W	XIII;XIII	517539;517886	517563;520446	+;+	2586	5885
YMR325W	XIII	922641	923015	+	375	2
YMR141W-A	XIII	550911	551135	+	225	0
YML072C	XIII	124730	129367	-	4638	28410
YML105C	XIII	57866	58687	-	822	2260
YMR119W-A	XIII	506996	507370	+	375	43
YMR069W	XIII	407709	408566	+	858	83
YMR293C	XIII	855399	856793	-	1395	322
YML124C	XIII;XIII	22048;23659	23360;23683	-;-	1338	6400
YMR090W	XIII	449245	449928	+	684	1266
YML029W	XIII	217362	219878	+	2517	2382
YMR171C	XIII	603868	605520	-	1653	2287
YMR102C	XIII	469848	472352	-	2505	3805
YMR188C	XIII	636291	637004	-	714	1069
YMR269W	XIII	804456	805091	+	636	61
YMR128W	XIII	523696	527499	+	3804	7148
YMR039C	XIII	348644	349522	-	879	2001
YMR230W	XIII;XIII	732414;732876	732465;733141	+;+	318	7359
YMR267W	XIII	801772	802704	+	933	1530
YMR247C	XIII	763351	768039	-	4689	5571
YMR152W	XIII	563096	564193	+	1098	2077
YMR251W-A	XIII	774752	774931	+	180	5946
YMR146C	XIII	557481	558524	-	1044	9134
YMR228W	XIII	724626	725651	+	1026	524
YMR032W	XIII	335298	337307	+	2010	1103
YMR013C-A	XIII	296471	296620	-	150	0
YMR001C-A	XIII	271347	271577	-	231	16
YMR031W-A	XIII	334709	335035	+	327	11
YMR153W	XIII	564435	565862	+	1428	1818
YMR056C	XIII	387315	388244	-	930	397
YMR282C	XIII	833356	835098	-	1743	854
YMR234W	XIII	740266	741312	+	1047	885
YMR323W	XIII	920088	921401	+	1314	14
YMR062C	XIII	395054	396379	-	1326	3560
YMR247W-A	XIII	769283	769426	+	144	0
YMR038C	XIII	347511	348260	-	750	3692
YMR049C	XIII	368094	370517	-	2424	5917
YMR272W-B	XIII	811089	811196	+	108	1
YMR147W	XIII	559199	559870	+	672	484
YML067C	XIII;XIII	139063;140184	140090;140214	-;-	1059	2190
tK(CUU)M	XIII	480621	480693	-	73	5
tR(UCU)M1	XIII	747892	747963	-	72	1
YML107C	XIII	55265	56269	-	1005	594
snR54	XIII	163535	163620	-	86	73
YMR231W	XIII	733545	736634	+	3090	2805
YMR081C	XIII	430079	431095	-	1017	2994
YML051W	XIII	171594	172901	+	1308	3147
YMR314W	XIII	901709	902413	+	705	5114
YMR113W	XIII	494999	496282	+	1284	896
YML031C-A	XIII	214086	214421	-	336	0
YMR263W	XIII	794919	795524	+	606	852
YML034W	XIII;XIII	209525;211571	211444;212155	+;+	2505	3500
YMR131C	XIII	533163	534698	-	1536	7015
YMR310C	XIII	895716	896669	-	954	1222
YMR034C	XIII	339418	340722	-	1305	846
YML103C	XIII	62582	67549	-	4968	8732
YMR306W	XIII	881159	886516	+	5358	376
YMR169C	XIII	599352	600872	-	1521	1035
YMR186W	XIII	632355	634472	+	2118	54381
YML059C	XIII	153219	158258	-	5040	4524
YML086C	XIII	95791	97371	-	1581	3953
YMR013C	XIII	295179	296738	-	1560	652
YMR127C	XIII	522329	523345	-	1017	437
YMR153C-A	XIII	565574	565909	-	336	37
YMR212C	XIII	690695	693043	-	2349	3435
YMR296C	XIII	859215	860891	-	1677	6601
YMR101C	XIII	468445	469476	-	1032	69
YMR166C	XIII	593367	594473	-	1107	864
YMR061W	XIII	392755	394788	+	2034	1627
YMR288W	XIII	845571	848486	+	2916	1483
YMR265C	XIII	796540	797925	-	1386	1134
YML116W	XIII	38196	39824	+	1629	1495
YML130C	XIII	11483	13174	-	1692	5406
YMR273C	XIII	811233	813980	-	2748	3229
YMR292W	XIII;XIII	854795;854899	854816;855293	+;+	417	842
YMR137C	XIII	542978	544963	-	1986	457
YMR013W-A	XIII	298311	298391	+	81	0
YML076C	XIII	112513	115347	-	2835	1657
YMR082C	XIII	431769	432125	-	357	10
tR(UCU)M2	XIII	131825	131896	-	72	0
YMR022W	XIII	318680	319177	+	498	1738
YML062C	XIII	147505	148683	-	1179	839
YMR086C-A	XIII	442026	442364	-	339	47
YML035C	XIII	206428	208860	-	2433	4151
YMR173W	XIII	608689	609981	+	1293	955
YMR194C-A	XIII	652912	653136	-	225	51
YMR093W	XIII	454015	455556	+	1542	2333
YML036W	XIII;XIII	205642;206204	206097;206293	+;+	546	531
YMR307W	XIII	887003	888682	+	1680	26908
YML116W-A	XIII	37472	37774	+	303	312
YMR021C	XIII	317165	318418	-	1254	1420
YMR135C	XIII	538689	540056	-	1368	3190
YMR121C	XIII	509734	510348	-	615	1352
YMR129W	XIII	527804	531817	+	4014	5871
YML066C	XIII	140424	141533	-	1110	9
YMR045C	XIII	357359	362627	-	5269	2264
YMR050C	XIII	373057	378325	-	5269	871
YML045W	XIII	184461	189729	+	5269	625
YML040W	XIII	196628	197950	+	1323	0
YML045W-A	XIII	184461	185783	+	1323	0
YMR046C	XIII	361305	362627	-	1323	0
YMR051C	XIII	377003	378325	-	1323	0
YML039W	XIII	196628	201896	+	5269	883
YBR225W	II	670627	673329	+	2703	2289
YBR182C-A	II	595361	595555	-	195	7
YBL055C	II	115573	116829	-	1257	2294
YBR293W	II	787006	788430	+	1425	836
YBR223W-A	II	668721	668840	+	120	0
YBR115C	II	469748	473926	-	4179	16
YBR031W	II	300166	301254	+	1089	19414
YBL108C-A	II	7605	7733	-	129	0
YBR116C	II	474199	474726	-	528	9
YBR241C	II	702589	704055	-	1467	1796
YBR182C	II	593506	594864	-	1359	756
YBR134W	II	504243	504644	+	402	2
YBL037W	II	147209	150286	+	3078	2294
YBR019C	II	276253	278352	-	2100	66
YBR022W	II	283738	284271	+	534	443
YBR121C-A	II	482326	482484	-	159	0
YBR119W	II;II	479338;479435	479345;480323	+;+	897	814
YBL022C	II	177874	181275	-	3402	12280
snR161	II	307185	307345	-	161	269
YBR243C	II	705447	706793	-	1347	1338
YBR234C	II	685438	686592	-	1155	4964
YBR179C	II	586547	589114	-	2568	2204
YBR247C	II	713004	714455	-	1452	2496
YBR124W	II	486507	486866	+	360	5
YBL086C	II	61202	62602	-	1401	2329
YBL065W	II	99963	100307	+	345	4
YBR227C	II	673572	675134	-	1563	1371
YBR218C	II	658707	662249	-	3543	20334
YBR244W	II	707528	708016	+	489	812
YBR160W	II	560078	560974	+	897	1622
YBL080C	II	73070	74695	-	1626	722
YBR083W	II	409169	410629	+	1461	2403
YBR294W	II	789235	791814	+	2580	38
tI(AAU)B	II	197494	197567	+	74	0
YBR091C	II	427155	427484	-	330	288
YBR284W	II	771239	773632	+	2394	562
YBR158W	II	556549	558198	+	1650	4075
YBR111W-A	II;II;II	462139;462290;462500	462209;462429;462579	+;+;+	291	659
YBL071C	II	90223	90531	-	309	4
YBR126W-B	II	490927	491070	+	144	114
YBR229C	II	676357	679221	-	2865	5726
YBR042C	II	320416	321609	-	1194	1361
YBR150C	II	541209	544493	-	3285	2504
YBR298C	II	802631	804475	-	1845	1319
YBR143C	II	530869	532182	-	1314	9062
YBR014C	II	266725	267336	-	612	1090
tS(AGA)B	II	227075	227156	+	82	0
YBR259W	II	730387	732453	+	2067	999
YBR060C	II	360652	362514	-	1863	1605
YBR180W	II	589741	591459	+	1719	34
YBL034C	II	153848	158389	-	4542	2490
YBR212W	II	647886	649904	+	2019	3367
YBR071W	II	380411	381046	+	636	2186
YBL074C	II	86722	87789	-	1068	454
YBL107C	II	9961	10551	-	591	639
YBR097W	II	436951	441315	+	4365	2304
YBR136W	II	505668	512774	+	7107	3794
YBR039W	II	315575	316510	+	936	4815
YBL089W	II	49574	50953	+	1380	872
YBL067C	II	93639	95882	-	2244	4874
YBR270C	II	742761	744398	-	1638	402
YBR087W	II	423765	424829	+	1065	1286
YBR121C	II	481364	483367	-	2004	18093
YBR026C	II	292877	294019	-	1143	3351
YBR197C	II	615203	615856	-	654	569
YBR027C	II	294024	294356	-	333	50
YBR177C	II	584807	586162	-	1356	2202
YBR176W	II	583720	584658	+	939	608
YBR230W-A	II	680362	680562	+	201	169
YBR090C	II;II	426333;426874	426516;427058	-;-	369	50
YBL071C-B	II	89458	89556	-	99	13
YBR064W	II	367763	368191	+	429	3
YBR044C	II	324341	326059	-	1719	975
YBL068W	II	92414	93394	+	981	2067
YBR216C	II	655576	657600	-	2025	1702
YBR271W	II	744852	746111	+	1260	1168
YBR084W	II	411054	413981	+	2928	13352
YBR065C	II	368584	369678	-	1095	710
YBR245C	II	708150	711539	-	3390	6058
YBR085W	II	415983	416906	+	924	259
YBR059C	II	356861	360187	-	3327	7126
YBR068C	II	373861	375690	-	1830	12929
YBR285W	II	773922	774356	+	435	321
YBR041W	II	318266	320275	+	2010	3027
YBR252W	II	722611	723054	+	444	1421
YBL082C	II	69751	71127	-	1377	842
YBL002W	II	236492	236887	+	396	5240
YBL098W	II	39145	40527	+	1383	1776
YBR117C	II	474392	476437	-	2046	187
YBR214W	II	651415	652998	+	1584	6489
YBR169C	II	573915	575996	-	2082	5672
YBR207W	II	635146	636543	+	1398	2315
YBR155W	II	549771	550928	+	1158	1179
YBL106C	II	10847	13879	-	3033	1204
YBR237W	II	691969	694518	+	2550	1659
YBR193C	II	609082	609753	-	672	843
YBR149W	II	539987	541021	+	1035	7126
YBR013C	II	265492	265881	-	390	411
YBL063W	II	101886	105221	+	3336	1394
YBL029C-A	II	164488	164772	-	285	726
YBR147W	II	536575	537465	+	891	850
YBR246W	II	711591	712754	+	1164	1786
YBR002C	II	241708	242568	-	861	872
YBR023C	II	284428	287925	-	3498	9206
YBL088C	II	51019	59382	-	8364	4205
YBL064C	II	100371	101156	-	786	2400
YBL007C	II	212632	216366	-	3735	17725
tL(UAA)B2	II	347603	347686	+	84	0
YBL093C	II	44256	44918	-	663	1873
YBL091C	II	47363	48628	-	1266	5311
YBR142W	II	528317	530638	+	2322	4637
YBR047W	II	331833	332360	+	528	403
YBR238C	II	695107	697302	-	2196	3630
YBR067C	II	372103	372735	-	633	7464
YBR010W	II	256331	256741	+	411	5569
YBL054W	II	117589	119166	+	1578	1600
YBR209W	II	642583	642900	+	318	5
YBL060W	II	107932	109995	+	2064	789
YBR089W	II	425183	425782	+	600	8
YBR025C	II	290681	291865	-	1185	16142
YBR040W	II	316968	317864	+	897	29
YBR230C	II;II	679549;680040	679942;680050	-;-	405	1715
YBL027W	II;II	168423;168809	168424;169376	+;+	570	19833
YBL100C	II	36989	37303	-	315	3
YBR261C	II	734832	735530	-	699	1681
YBR034C	II	304930	305976	-	1047	4171
